Date,Open,High,Low,Close,Volume,Adj Close,change,ptc_chg,ma10,ma20,ma30,diff,dea,macd,rsi6,rsi12,rsi24,mfi,pos,neu,neg,ple,att,sen,apt
2000-08-08,19.8,19.8,18.9,19.0,27539000,14.16,-0.6000000000000014,-3.0612244897959253,19.265000000000004,19.8075,19.198333333333334,0.56053786253824,0.8974877846658171,-0.33694992212757713,40.25404146997132,48.09728964603478,56.08774004177607,40.39213528658284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-09,18.85,19.25,18.15,18.45,62382000,13.75,-0.5500000000000007,-2.894736842105267,19.135,19.76,19.246666666666673,0.4321112372015357,0.8044124751729609,-0.3723012379714252,32.02942949416119,43.243648726870795,53.289882937063325,38.197384578626156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-10,18.45,18.7,18.2,18.35,30640000,13.67,-0.09999999999999787,-0.5420054200541891,19.04,19.675000000000004,19.296666666666674,0.3185905337360069,0.7072480868855701,-0.3886575531495632,30.662542389769605,42.39507741846256,52.790271695032395,30.567683964264173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-11,18.3,18.7,18.3,18.4,13825000,13.71,0.049999999999997165,0.27247956403268203,19.015,19.53,19.36166666666667,0.23000775428311826,0.6118000203650797,-0.3817922660819615,32.39364268316901,43.00512037692784,53.020073364885796,35.105531896029945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-14,18.7,18.85,18.35,18.7,17451300,13.93,0.3000000000000007,1.6304347826086998,19.08,19.39,19.420000000000005,0.18191574469144456,0.5258231652303527,-0.3439074205389081,42.69469597544408,46.699741810129254,54.409484695482,40.7764548637476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,18.85,19.15,18.45,19.0,20831500,14.16,0.3000000000000007,1.604278074866314,19.045,19.32,19.440000000000005,0.16609532982969102,0.4538775981502203,-0.2877822683205293,51.55285603567985,50.22002301550046,55.77430835117361,40.5492657039063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-16,19.0,19.05,18.75,18.85,18371000,14.04,-0.14999999999999858,-0.7894736842105189,18.985,19.242500000000003,19.45666666666667,0.1398417816635913,0.3910704348528945,-0.2512286531893032,47.177301982351715,48.47374578891683,54.916562171444006,45.472176520387364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-17,19.2,19.75,19.1,19.4,33388900,14.45,0.5499999999999972,2.917771883289109,18.96,19.1825,19.49166666666667,0.1615537677823049,0.3451671014387766,-0.1836133336564717,61.54015049627018,54.76542776059173,57.42189682316671,54.680010732414104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-18,19.6,19.7,18.9,19.1,21465400,14.23,-0.2999999999999972,-1.5463917525773048,18.885,19.12,19.496666666666673,0.1527918906071406,0.3066920592724494,-0.1539001686653088,52.24230833375538,51.055799450336885,55.66136239388773,56.08847334673839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-21,19.15,19.35,18.75,18.9,17525600,14.08,-0.20000000000000284,-1.0471204188481824,18.815,19.065,19.49,0.12823153794161612,0.2709999550062828,-0.14276841706466664,46.6087701073762,48.658722806832905,54.49898396856059,48.15002282216052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,19.2,19.2,18.8,18.8,14390000,14.01,-0.09999999999999787,-0.5291005291005179,18.795,19.03,19.47,0.09955056034963404,0.23671007607495306,-0.13715951572531898,43.77639889930926,47.44372857202138,53.911590299502286,41.9591689527217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-23,18.8,18.9,18.3,18.3,22451000,13.63,-0.5,-2.6595744680851063,18.780000000000005,18.957500000000003,19.433333333333334,0.0360591897536402,0.19657989881069046,-0.16052070905705024,32.079684877325036,41.756552058127525,51.041361510550175,35.58322591114108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-24,18.7,18.75,18.2,18.35,12868000,13.67,0.05000000000000071,0.27322404371585085,18.780000000000005,18.910000000000004,19.376666666666672,-0.010107088516765115,0.15524250134519935,-0.16534958986196446,34.18976302262145,42.50836725251696,51.311845208100145,31.386489549765965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-25,18.5,18.5,18.0,18.3,11214000,13.63,-0.05000000000000071,-0.2724795640327014,18.770000000000003,18.892500000000005,19.276666666666667,-0.050150673047518524,0.11416386646665574,-0.1643145395141743,32.96096634339357,41.91809265188553,51.01773079588444,32.275562398163245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-28,18.5,18.75,18.3,18.6,13920000,13.86,0.3000000000000007,1.6393442622950858,18.760000000000005,18.920000000000005,19.180000000000003,-0.05702071023774025,0.07992695112577658,-0.13694766136351685,46.742491449911356,46.757354373895396,52.714645373082654,38.20924080904308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,18.6,18.65,18.25,18.35,14882000,13.67,-0.25,-1.3440860215053765,18.695000000000004,18.870000000000005,19.11166666666667,-0.08169642928719867,0.04760227504318151,-0.12929870433038018,38.77195982631578,43.46515034513342,51.17307018040371,45.070629057902835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-30,18.25,18.45,18.0,18.3,21907800,13.63,-0.05000000000000071,-0.2724795640327014,18.640000000000008,18.812500000000007,19.04166666666667,-0.1040868481517343,0.01726445040419835,-0.12135129855593264,37.247608518258225,42.807529556105706,50.86265293993335,46.6225501930346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-31,18.3,18.3,18.05,18.1,14190000,13.49,-0.1999999999999993,-1.092896174863384,18.510000000000005,18.735000000000007,18.958333333333336,-0.13639744016068178,-0.01346792770877768,-0.1229295124519041,31.334322794855737,40.156361518050424,49.60665845971954,41.25817851479828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-01,18.25,18.45,18.1,18.1,19908700,13.49,0.0,0.0,18.410000000000004,18.647500000000008,18.883333333333336,-0.1601576197669985,-0.04280586612042184,-0.11735175364657666,31.334322794855737,40.156361518050424,49.60665845971954,41.71548242046303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-04,18.45,18.85,18.4,18.7,26284500,13.93,0.5999999999999979,3.3149171270718107,18.390000000000004,18.602500000000006,18.840000000000007,-0.1290847391763137,-0.06006164073160021,-0.06902309844471348,59.26883335140778,50.99257087647965,53.36814474282517,42.86832160897869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,18.75,19.1,18.6,18.85,28364800,14.04,0.15000000000000213,0.8021390374331664,18.395000000000003,18.595000000000006,18.81833333333334,-0.09130302658616074,-0.06630991790251231,-0.02499310868364843,63.69919218714737,53.2988685887067,54.258815405294726,44.971294808248366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-06,18.9,18.95,18.6,18.65,18414000,13.9,-0.20000000000000284,-1.061007957559697,18.43,18.605000000000008,18.781666666666673,-0.07661589533648439,-0.06837111338930672,-0.008244781947177662,54.25672263633794,49.88423534113458,52.85426719296108,34.30227285419217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-07,18.7,18.7,18.35,18.45,11129000,13.75,-0.1999999999999993,-1.0723860589812295,18.44,18.610000000000007,18.75333333333334,-0.08019018401168054,-0.07073492751378149,-0.00945525649789905,46.0629379321234,46.62557681627919,51.46414021787532,35.848678965244936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-08,18.7,18.75,18.3,18.55,22873000,13.82,0.10000000000000142,0.5420054200542083,18.465,18.617500000000007,18.750000000000007,-0.0740994964037931,-0.07140784129178382,-0.002691655112009278,50.54419177779128,48.461954651137994,52.121149551969296,44.206932709225796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-11,18.5,18.85,18.4,18.55,20413000,13.82,0.0,0.0,18.46,18.610000000000007,18.766666666666676,-0.06848315145283834,-0.07082290332399473,0.002339751871156384,50.54419177779128,48.461954651137994,52.121149551969296,51.145246315751145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,18.45,18.5,18.1,18.4,20099000,13.71,-0.15000000000000213,-0.8086253369272353,18.465000000000003,18.580000000000005,18.735000000000007,-0.07526825838354156,-0.0717119743359041,-0.00355628404763747,42.85369665544453,45.65773765794005,50.99373482383168,51.650660263303976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-14,18.4,18.6,18.1,18.45,23520700,13.75,0.05000000000000071,0.2717391304347865,18.48,18.560000000000006,18.70166666666667,-0.07573786343314026,-0.07251715215535133,-0.003220711277788932,46.13217611858612,46.77761972373064,51.359690258547,58.3662436971791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-15,18.5,18.55,18.3,18.45,20893800,13.75,0.0,0.0,18.515,18.512500000000006,18.66166666666668,-0.07524267806250506,-0.07306225733678208,-0.002180420725722984,46.13217611858612,46.77761972373064,51.359690258547,63.83569653755554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-18,18.2,18.25,17.1,17.35,38531000,12.93,-1.099999999999998,-5.962059620596196,18.44,18.425000000000004,18.57833333333334,-0.1617465336489019,-0.09079911259920603,-0.07094742104969587,16.373562851637182,30.383890442841658,43.56644702683585,54.34451090437678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,17.0,17.2,16.4,17.1,30121800,12.74,-0.25,-1.4409221902017288,18.28,18.335000000000008,18.495000000000008,-0.2476199642804211,-0.12216328293544905,-0.12545668134497204,13.92393886738957,27.954860574929576,42.053146913069746,52.13184021058546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-20,17.25,17.5,17.1,17.35,23936600,12.93,0.25,1.4619883040935668,18.130000000000006,18.262500000000014,18.440000000000012,-0.2921348177463621,-0.15615758989763168,-0.1359772278487304,27.025130710300523,33.73406876750343,44.080005490354615,59.163444232578925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-21,17.15,17.2,16.5,16.55,20062000,12.33,-0.8000000000000007,-4.610951008645537,17.92,18.175000000000008,18.376666666666672,-0.3874996195473557,-0.20242599582757648,-0.1850736237197792,17.056296372526507,26.35415497808904,39.47006977259049,58.37160036399799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-22,16.3,16.4,15.5,15.8,33881600,11.77,-0.75,-4.531722054380665,17.655000000000005,18.047500000000007,18.29166666666667,-0.5176287421031525,-0.2654665450826917,-0.2521621970204608,12.054074348014305,21.535758140946914,35.8067654140606,50.66642677301012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-25,16.2,16.9,16.2,16.75,23761000,12.48,0.9499999999999992,6.012658227848097,17.475,17.970000000000006,18.23666666666667,-0.5378993795231857,-0.3199531119707905,-0.2179462675523952,39.17065644039228,37.360966024818524,42.82110250806549,49.87497201972258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,16.5,17.3,16.5,17.15,21350000,12.78,0.3999999999999986,2.3880597014925287,17.335,17.897500000000004,18.185,-0.5157421936896149,-0.3591109283145554,-0.15663126537505956,47.36985530220114,42.67189142504446,45.44042023439336,48.380851857987565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-27,16.8,17.45,16.75,17.35,26785000,12.93,0.20000000000000284,1.1661807580175094,17.23,17.847500000000004,18.130000000000006,-0.4765507552879314,-0.38259889370923056,-0.09395186157870078,51.307794335266934,45.20595260602249,46.71397933563797,55.249880589148205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-28,17.6,17.6,17.05,17.25,13495500,12.85,-0.10000000000000142,-0.5763688760806998,17.110000000000007,17.795000000000005,18.076666666666668,-0.44839164251979824,-0.3957574434713441,-0.052634199048454115,49.10336136822525,44.14167037511473,46.151908358498275,58.938749361231295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-29,17.65,17.7,17.3,17.45,11139900,13.0,0.1999999999999993,1.1594202898550685,17.01,17.762500000000006,18.011666666666674,-0.4052653673593518,-0.3976590282489457,-0.007606339110406145,53.86101508802508,46.870733388188846,47.470946261607935,57.28417669768989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,17.3,17.3,16.9,17.2,13173400,12.82,-0.25,-1.4326647564469914,16.995,17.7175,17.948333333333334,-0.386801586337814,-0.39548753986671936,0.00868595352890533,47.237588785917815,43.943111421894905,46.00117647262312,52.01601935705707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-04,17.0,17.5,16.9,17.45,10044000,13.0,0.25,1.4534883720930232,17.03,17.655,17.900000000000013,-0.3479846458071165,-0.3859869610547988,0.038002315247682265,54.022372091601106,47.51915365465742,47.691150391000434,57.16721503380857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-05,17.7,18.6,17.6,18.45,31857200,13.75,1.0,5.730659025787967,17.14,17.634999999999994,17.888333333333346,-0.23383479615136335,-0.3555565280741117,0.12172173192274832,71.57027551465363,58.947055771802724,53.73472944610953,58.32233242871027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-09,18.0,18.4,17.6,17.65,12810200,13.15,-0.8000000000000007,-4.3360433604336075,17.25,17.585,17.866666666666674,-0.20555403307461967,-0.3255560290742133,0.1200019959995936,52.37889425377872,49.5336904154392,49.008013239840686,52.80377816724305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,17.7,17.95,17.5,17.65,5810800,13.15,0.0,0.0,17.435,17.544999999999998,17.843333333333344,-0.18105424396235748,-0.2966556720518422,0.1156014280894847,52.37889425377872,49.53369041543922,49.008013239840686,59.177027971103776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-11,17.5,17.75,16.95,17.2,10282800,12.82,-0.4499999999999993,-2.549575070821526,17.479999999999997,17.4775,17.80666666666668,-0.19569339216258186,-0.2764632160739901,0.08076982391140825,43.032304734443294,44.749876413596226,46.50264561594182,63.606189559639155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-12,17.0,17.1,16.15,16.8,36996000,12.52,-0.3999999999999986,-2.3255813953488293,17.445,17.389999999999993,17.746666666666673,-0.23684151804979334,-0.2685388764691508,0.03169735841935739,36.15133154643043,40.917898806444896,44.39744621801587,51.86207533350471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
