Date,Open,High,Low,Close,Volume,Adj Close,change,ptc_chg,ma10,ma20,ma30,diff,dea,macd,rsi6,rsi12,rsi24,mfi,pos,neu,neg,ple,att,sen,apt
2003-02-21,22.65,22.8,22.25,22.35,3218000,18.09,-0.5499999999999972,-2.4017467248908178,22.895000000000003,22.8225,23.528333333333325,-0.5609126666063879,-0.8048517742781536,0.24393910767176566,36.48868573309561,41.6625518748158,42.14346315034799,59.3083766319109,10.014,0.7589051368578927,-3.175,7.2105,-0.7589999999999997,-0.7180000000000004,4.780000000000001
2003-02-24,22.5,22.6,22.1,22.1,2057000,17.89,-0.25,-1.1185682326621922,22.805,22.715,23.421666666666663,-0.581532723958432,-0.7601879642142093,0.17865524025577728,32.53805965683392,39.327959935266385,40.93857390338687,50.21988904250736,9.217,0.7703703703703704,-6.715000000000002,4.421,4.9719999999999995,1.0499999999999996,-1.6430000000000002
2003-02-25,21.6,21.95,21.6,21.65,2916500,17.53,-0.4500000000000029,-2.0361990950226367,22.715,22.622499999999995,23.305,-0.6269583218956924,-0.7335420357505059,0.10658371385481348,26.37088600160973,35.429515135172636,38.8522169048826,44.97510020908108,0.0,0.9444444444444444,-0.76,-0.76,0.0,0.6920000000000001,-0.84
2003-02-26,21.85,21.95,21.7,21.85,846000,17.69,0.20000000000000284,0.9237875288683736,22.605,22.595,23.181666666666665,-0.6394489376938779,-0.7147234161391803,0.07527447844530244,33.13049199277744,38.39054885480471,40.264079272884345,49.32909124337257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-27,21.7,22.4,21.4,22.1,2089000,17.89,0.25,1.1441647597254003,22.58,22.58,23.076666666666664,-0.6220048453683127,-0.6961797019850068,0.0741748566166941,41.22443069751428,42.01642423556965,42.01052167374504,49.874075388363856,3.6523333333333334,0.8392782969885774,-3.2723333333333327,0.043000000000000003,3.0826666666666664,0.1389999999999998,-0.10166666666666664
2003-02-28,22.15,22.4,22.0,22.1,1148100,17.89,0.0,0.0,22.54,22.57,22.956666666666663,-0.601249447160324,-0.6771936510200702,0.0759442038597462,41.22443069751429,42.01642423556965,42.01052167374503,48.891462900981715,0.0,0.8636363636363636,-2.06,-1.96,0.0,2.08,-2.14
2003-03-03,22.2,22.75,22.15,22.55,2496500,18.25,0.4499999999999993,2.0361990950226208,22.455,22.575000000000006,22.85833333333333,-0.5422388138388463,-0.6502026835838255,0.10796386974497918,55.26080512575469,48.50806359562665,45.15326423229536,56.74901605865639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-04,22.5,22.65,22.35,22.6,2012000,18.29,0.05000000000000071,0.22172949002217607,22.375,22.570000000000004,22.781666666666666,-0.4858374479734273,-0.6173296364617459,0.13149218848831856,56.641417965051915,49.19747856619996,45.49574086272821,56.10434859268568,8.044,0.6724137931034483,-10.32,-2.321,2.5780000000000003,-2.1090000000000004,-1.3509999999999998
2003-03-05,22.25,22.75,22.25,22.75,2904300,18.42,0.14999999999999858,0.6637168141592857,22.295,22.57500000000001,22.73333333333333,-0.4241459226033868,-0.578692893690074,0.15454697108668725,60.976636041191384,51.33009052258354,46.540720713281345,64.07444634509883,3.1140000000000003,0.852920227920228,-2.355,0.45599999999999996,1.9196666666666669,-0.3946666666666668,0.49366666666666664
2003-03-06,22.75,22.8,21.9,22.35,2120000,18.09,-0.3999999999999986,-1.758241758241752,22.24,22.56750000000001,22.676666666666666,-0.4028873665715516,-0.5435317882663695,0.14064442169481794,46.196074622402755,45.74388498262293,44.183554204128704,59.54623416646682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
