Date,Open,High,Low,Close,Volume,Adj Close,change,ptc_chg,ma10,ma20,ma30,diff,dea,macd,rsi6,rsi12,rsi24,mfi,pos,neu,neg,ple,att,sen,apt
2003-02-20,50.0,50.0,48.5,48.6,9065600,40.13,-1.2999999999999972,-2.605210420841677,48.61,48.78249999999999,49.58999999999999,-0.5239905697960623,-0.8859594806531024,0.3619689108570401,46.04129626058613,48.61802721321053,49.238269751595716,43.06099990638439,12.464000000000002,0.7372881355932204,-10.0,-2.3609999999999998,6.577000000000001,7.213000000000003,8.554
2003-02-21,48.5,48.7,47.6,47.9,6753300,39.55,-0.7000000000000028,-1.4403292181070015,48.7,48.66499999999999,49.49499999999999,-0.5692699795621152,-0.822621580434905,0.2533516008727897,38.80686817484817,44.51038208758531,47.037890908383226,42.246277946158955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-24,48.4,48.5,47.2,47.3,4312800,39.06,-0.6000000000000014,-1.2526096033402954,48.64,48.50499999999998,49.37999999999999,-0.646121141292646,-0.7873214926064531,0.14120035131380715,33.40758398789445,41.251441212818634,45.23005739848087,42.60824473869504,13.715749999999996,0.7311953014497878,-6.9695,1.4912500000000009,4.60125,2.8395,6.3355
2003-02-25,46.6,46.9,46.2,46.5,6756800,38.4,-0.7999999999999972,-1.6913319238900577,48.49,48.334999999999994,49.22166666666666,-0.7627866253687827,-0.782414519158919,0.019627893790136297,27.32477511833929,37.28107238258843,42.934244160924656,46.076690947761314,19.938000000000002,0.6522295183415271,-10.735,6.832,6.878333333333334,1.4596666666666671,9.319666666666668
2003-02-26,46.8,47.0,46.1,46.3,5803600,38.23,-0.20000000000000284,-0.4301075268817265,48.19,48.209999999999994,49.02333333333332,-0.8614528977889079,-0.7982221948849169,-0.06323070290399113,25.90950458271512,36.32749541499128,42.373165514474785,47.1967159698758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-27,46.1,47.2,46.0,46.8,6155700,38.65,0.5,1.0799136069114472,48.09,48.084999999999994,48.84999999999999,-0.8890523659495315,-0.8163882290978398,-0.07266413685169171,35.873661667905544,40.47954175724017,44.2729713632387,54.19451580095155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-28,47.0,47.3,46.1,46.8,6377000,38.65,0.0,0.0,47.97,47.97999999999998,48.65166666666665,-0.9005442299961786,-0.8332194292775076,-0.06732480071867097,35.873661667905544,40.47954175724017,44.2729713632387,54.559524125733525,8.341666666666667,0.749176664314279,-7.679333333333332,-0.4633333333333338,4.161999999999999,0.045000000000000075,-0.5103333333333339
2003-03-03,46.7,48.1,46.7,47.5,6789400,39.22,0.7000000000000028,1.495726495726502,47.76,47.90499999999999,48.509999999999984,-0.8434447590356129,-0.8352644952291286,-0.008180263806484291,49.551484790768995,46.31249672952555,46.93952566203159,53.69882877381132,9.7865,0.7469904041872637,-6.97,3.6255000000000015,4.480499999999999,2.8180000000000005,-0.6629999999999991
2003-03-04,47.1,47.3,46.2,46.4,6875200,38.32,-1.1000000000000014,-2.3157894736842133,47.39999999999999,47.79499999999998,48.37333333333332,-0.8768460879521456,-0.8435808137737321,-0.03326527417841363,35.33805065456987,39.65115903831774,43.52448239467105,46.69054904454386,17.3705,0.7669275491949911,-8.432,2.1624999999999996,7.870500000000001,3.900000000000001,6.359500000000001
2003-03-05,45.9,46.6,45.8,46.1,5894000,38.07,-0.2999999999999972,-0.6465517241379249,47.02,47.73499999999999,48.24999999999999,-0.9169542962149322,-0.8582555102619721,-0.058698785952960186,32.30536870380912,38.02397059308645,42.64159975255093,46.88431837654739,7.638000000000001,0.8477157360406091,-8.229999999999999,-2.1960000000000006,4.481000000000001,6.283000000000001,-0.7900000000000003
2003-03-06,46.3,46.4,45.1,45.3,7020900,37.41,-0.8000000000000043,-1.735357917570508,46.69,47.649999999999984,48.084999999999994,-1.00174614831581,-0.8869536378727396,-0.11479251044307047,25.34507159650709,33.968713794779994,40.363313386460575,45.54907811716443,39.26199999999999,0.6598240469208211,-14.237999999999996,15.868000000000013,20.179000000000013,-1.0419999999999998,20.178000000000008
2003-03-07,44.9,45.2,44.5,44.6,6617600,36.83,-0.6999999999999957,-1.5452538631346486,46.36,47.52999999999999,47.896666666666654,-1.1126030563912437,-0.9320835215764404,-0.1805195348148032,20.669169564001447,30.830135657434212,38.48586695326943,36.828631604970106,5.157333333333333,0.8229200359389038,-6.102666666666667,-2.333666666666667,2.2756666666666665,2.815666666666667,-0.9503333333333335
2003-03-10,44.0,44.0,42.5,42.9,18700000,35.43,-1.7000000000000028,-3.8116591928251182,45.92,47.27999999999999,47.643333333333324,-1.322390057802011,-1.0101448288215544,-0.31224522898045626,13.442003730924599,24.767343142339286,34.427757410525196,26.626108974887604,9.44175,0.7336306826145895,-5.666749999999999,2.0860499999999993,3.3289,0.7262000000000001,3.2191999999999994
2003-03-11,42.0,42.7,41.9,42.7,14409500,35.26,-0.19999999999999574,-0.4662004662004563,45.54,47.01499999999999,47.40333333333332,-1.4876375368810812,-1.1056433704334598,-0.3819941664476214,12.80967151967726,24.157635923485714,33.98780061147193,17.814231865410886,5.913944444444445,0.8064539565316899,-6.2300555555555555,-0.8413888888888886,2.8967777777777775,0.8519444444444443,0.085
2003-03-12,42.6,43.1,42.4,42.8,7572400,35.34,0.09999999999999433,0.2341920374707127,45.19,46.68999999999998,47.20333333333331,-1.5921745927193098,-1.2029496148906298,-0.38922497782868026,15.203057472345881,25.16252838332039,34.425013463434546,24.759135112271856,7.790857142857143,0.7733845115508731,-6.989142857142856,-0.7134285714285719,4.045428571428571,2.728285714285714,1.2795714285714292
2003-03-13,42.8,42.9,41.9,42.3,5623200,34.93,-0.5,-1.1682242990654208,44.74,46.41499999999999,46.96999999999999,-1.69581844452739,-1.3015233808179818,-0.39429506370940826,13.05318725852946,23.466567395097275,33.275160558862126,25.196794231864047,7.646142857142858,0.7865880660532802,-4.9761428571428565,1.3437142857142859,3.1278571428571427,2.0801428571428575,3.428571428571428
2003-03-14,43.6,44.2,43.5,43.8,11508200,36.17,1.5,3.546099290780142,44.44,46.204999999999984,46.79999999999998,-1.6380372065476507,-1.3688261459639155,-0.26921106058373523,42.38412588997434,37.29762491765381,39.59157135488381,33.47316347576475,5.859666666666667,0.8188108763097306,-5.626666666666668,0.3339166666666667,2.082333333333333,1.5424166666666663,-0.26433333333333336
2003-03-17,43.2,43.2,42.7,42.9,4595700,35.43,-0.8999999999999986,-2.054794520547942,43.98,45.86999999999998,46.59666666666665,-1.6458947869732443,-1.4242398741657811,-0.22165491280746294,34.101343053571426,33.352405444594105,37.37636326925835,34.246638300924054,9.223804878048782,0.7047812083260367,-6.676048780487806,0.9787073170731708,4.5223902439024375,2.911463414634146,0.6073170731707319
2003-03-18,44.2,44.3,43.6,43.9,6829300,36.25,1.0,2.331002331002331,43.73,45.56499999999998,46.43999999999998,-1.5535222954323444,-1.4500963584190938,-0.10342593701325063,47.72281336078766,40.92646943295024,41.19135712345452,39.92762228036144,8.389743589743588,0.7163548286279952,-7.391564102564103,-0.5450000000000003,3.8725897435897414,2.764384615384615,0.5021538461538464
2003-03-19,43.8,46.8,43.5,46.3,12806400,38.23,2.3999999999999986,5.466970387243731,43.74999999999999,45.384999999999984,46.40666666666665,-1.2719937360150269,-1.4144758339382804,0.1424820979232535,67.23061140170513,54.47264530808678,48.975782480875495,43.222368401231975,10.074479166666665,0.7185915818616185,-8.160708333333337,0.41364583333333255,3.5209583333333327,2.9565208333333337,1.6140208333333332
2003-03-20,46.8,47.4,46.1,46.8,13541700,38.65,0.5,1.0799136069114472,43.89999999999999,45.29499999999997,46.399999999999984,-0.9970412323574179,-1.3309889136221078,0.33394768126468977,70.02681591885681,56.72781847864236,50.402977031107085,46.544917191962064,9.896814285714289,0.7304939771073045,-6.570557142857141,1.3686571428571426,3.632085714285715,2.347885714285714,2.608442857142858
2003-03-21,47.3,47.4,46.2,46.4,7781700,38.32,-0.3999999999999986,-0.8547008547008517,44.07999999999999,45.21999999999998,46.37999999999999,-0.8021691427982347,-1.2252249594573332,0.4230558166590985,64.72478287890024,54.37709248582821,49.25293856990881,40.632612570872325,10.670510638297877,0.7158969321362518,-7.898851063829789,0.39329787234042474,4.892553191489363,2.960297872340424,1.513382978723404
2003-03-24,47.0,47.1,44.8,45.1,10002100,37.24,-1.2999999999999972,-2.8017241379310285,44.3,45.10999999999998,46.28666666666665,-0.7440537547641384,-1.1289907185186945,0.3849369637545559,49.9694968251934,47.41145131447156,45.715518823038884,39.6960394404776,8.051511111111113,0.7348022792432706,-7.473222222222221,-0.8925777777777777,4.408266666666667,2.704222222222222,-0.5363333333333332
2003-03-25,44.5,44.9,44.2,44.7,8438400,36.91,-0.3999999999999986,-0.8869179600886887,44.49999999999999,45.01999999999998,46.17666666666665,-0.7219513424324262,-1.0475828433014407,0.3256315008690145,46.089948721963346,45.45688682120429,44.685092011943034,39.007605573510695,11.288954545454546,0.7159139554751952,-8.17065909090909,1.244,5.716340909090911,2.6989318181818187,1.43
2003-03-26,45.0,45.5,44.9,44.9,5717100,37.08,0.19999999999999574,0.4474272930648674,44.71,44.94999999999998,46.02999999999999,-0.6804528559339857,-0.9741568458279496,0.293703989893964,48.48946381401004,46.65640707274572,45.32803372191441,43.7506392707294,8.211658536585364,0.7259213951060953,-7.012902439024389,0.19260975609756084,5.222390243902439,2.3232926829268297,0.3542926829268292
2003-03-27,44.7,44.9,43.7,43.9,6886900,36.25,-1.0,-2.2271714922049,44.86999999999999,44.80499999999999,45.89999999999999,-0.7199574279829691,-0.9233169622589537,0.20335953427598447,38.26934359442881,41.65909924276324,42.73635988474928,43.692441739257575,6.954961538461538,0.7550762279001061,-7.096961538461538,-0.7571923076923078,4.075307692307691,2.629076923076923,-0.6688076923076921
2003-03-28,43.8,44.3,43.6,43.9,6077300,36.25,0.0,0.0,44.87999999999998,44.65999999999998,45.76333333333333,-0.7427036604659918,-0.8871943019003612,0.1444906414343694,38.26934359442881,41.65909924276324,42.73635988474928,48.04472649487651,2.7525000000000004,0.890625,-0.395,1.5390000000000001,0.007000000000000076,0.4525,2.083
2003-03-31,43.4,43.5,42.3,42.4,9650500,35.01,-1.5,-3.416856492027335,44.829999999999984,44.40499999999999,45.52333333333333,-0.8717190430613329,-0.8840992501325555,0.01238020707122267,26.297200644106216,34.972311602219854,39.08632993196795,49.8774498932239,5.0722,0.8382749662807428,-4.606066666666666,0.2436000000000005,2.7319999999999998,2.2125333333333335,-0.37253333333333327
2003-04-01,42.4,43.2,42.0,43.1,9989600,35.59,0.7000000000000028,1.650943396226422,44.74999999999999,44.23999999999999,45.29333333333333,-0.9070248950313484,-0.8886843791123141,-0.01834051591903429,37.284345848878786,39.884651056026286,41.51857339820778,50.85116291569705,2.0550000000000006,0.9399038461538461,-4.465,-2.8710000000000004,0.3924999999999999,4.551,-1.6945
2003-04-02,42.9,43.8,42.6,43.7,8630300,36.09,0.6000000000000014,1.3921113689095157,44.48999999999999,44.11999999999999,45.08666666666666,-0.8764864611613419,-0.8862447955221197,0.009758334360777776,45.622244548570755,43.850854408214204,43.535115702633504,56.441666394251726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-03,44.2,44.3,42.8,42.8,10326300,35.34,-0.9000000000000057,-2.0594965675057337,44.08999999999999,43.99499999999999,44.89333333333333,-0.9143667598539408,-0.891869188388484,-0.022497571465456945,36.81274290709029,39.57795405537813,41.30578292151293,47.69926436323056,5.862500000000001,0.804007091580708,-3.9412499999999993,0.252,2.3127499999999994,2.0267500000000007,1.5567500000000003
2003-04-04,43.0,44.2,42.8,44.1,9665700,36.42,1.3000000000000045,3.037383177570104,43.85999999999999,43.96999999999999,44.76666666666666,-0.8299212188312879,-0.8794795944770447,0.049558375645756825,52.65811187456489,47.62053061046156,45.51135837306271,53.299641607401846,20.67266666666667,0.7946612163086167,-17.776666666666664,0.6436666666666673,9.949666666666667,10.097333333333337,2.161000000000001
2003-04-07,44.6,45.4,43.9,45.2,9313700,37.32,1.1000000000000014,2.4943310657596403,43.86999999999999,44.085,44.69666666666666,-0.666553103000652,-0.8368942961817661,0.17034119318111418,62.266147053407316,53.35205549391464,48.7534654625711,54.25541955154835,3.3202500000000006,0.8799824852507374,-3.53,-0.3597499999999999,1.83225,1.7112500000000002,-0.96775
2003-04-08,44.6,45.0,44.0,44.1,8428700,36.42,-1.1000000000000014,-2.433628318584074,43.80999999999999,44.15499999999999,44.61666666666666,-0.6187113814467295,-0.7932577132347588,0.17454633178802925,50.07168916414473,47.66254530423581,45.903432134899255,45.768290064975005,1.1785,0.8952305246422894,-3.4800000000000004,-2.4130000000000003,0.7545,2.4,-2.0129999999999995
2003-04-09,44.0,44.0,42.6,42.8,12063500,35.34,-1.3000000000000045,-2.9478458049886718,43.6,44.15499999999999,44.49999999999999,-0.6778814129193336,-0.7701824531716738,0.0923010402523402,39.187619731565306,41.90160226010097,42.81674793920941,35.038723411372736,2.4290000000000003,0.905940594059406,-7.229999999999999,-5.202999999999999,1.893,4.078,-4.260999999999999
2003-04-10,42.7,43.2,42.3,42.9,8909200,35.43,0.10000000000000142,0.23364485981308744,43.49999999999999,44.18499999999999,44.37,-0.7085373474016379,-0.7578534320176666,0.049316084616028766,40.38381244971004,42.48497066575923,43.12373365826869,34.92167798399573,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2003-04-11,42.9,43.3,42.5,43.1,8355300,35.59,0.20000000000000284,0.4662004662004729,43.42,44.14999999999999,44.24666666666666,-0.7085266140484379,-0.7479880684238209,0.039461454375383065,43.07133072188651,43.71798171600797,43.75389990696351,42.282555846824415,14.009749999999997,0.7372328005086916,-4.664999999999999,4.8625,5.034000000000001,1.2082500000000005,6.837500000000003
2003-04-14,42.7,42.7,41.9,42.2,8439800,34.85,-0.8999999999999986,-2.088167053364266,43.4,44.115,44.07,-0.7722386991529291,-0.7528381945696425,-0.019400504583286567,34.639020295496174,39.55514237819326,41.59013388100358,42.43853716939859,3.608,0.9186046511627908,-7.12,-2.4770000000000003,2.565,7.017,-4.6930000000000005
2003-04-15,42.6,43.4,42.2,43.4,8721700,35.84,1.1999999999999955,2.8436018957345865,43.42999999999999,44.09,43.97,-0.7176286382045589,-0.7457962832966258,0.028167645092066932,50.22924863893357,46.908442759391136,45.350271009089134,43.67890439144559,24.226125000000003,0.7258712832588976,-9.759500000000003,10.431749999999997,6.824375,-0.6934999999999995,11.56725
2003-04-16,43.4,43.7,42.8,43.1,5937700,35.59,-0.2999999999999972,-0.6912442396313299,43.37,43.93,43.87,-0.6905964977099117,-0.734756326179283,0.04415982846937128,46.87499130663394,45.40208773150997,44.60126031583467,48.8233231263548,5.7586666666666675,0.7944321898090743,-3.958,-0.49566666666666676,3.5273333333333334,1.5326666666666673,1.4896666666666667
2003-04-17,42.6,42.8,42.3,42.6,7523100,35.18,-0.5,-1.160092807424594,43.35,43.72000000000001,43.78,-0.7014334645849374,-0.7280917538604139,0.02665828927547653,41.352091418432565,42.89744894246933,43.355918202322854,48.345883049355905,0.0,0.9047619047619048,-1.52,-1.52,0.0,1.3840000000000001,-1.68
2003-04-22,42.5,42.9,42.1,42.7,7389200,35.26,0.10000000000000142,0.234741784037562,43.21,43.53500000000001,43.71666666666667,-0.6939532139646829,-0.7212640458812677,0.027310831916584788,42.96488770010393,43.576570188264654,43.68407857749358,55.11417416429789,3.8816666666666664,0.8743656855937183,-4.166666666666667,-1.3120000000000003,2.0850000000000004,2.2246666666666672,-0.7260000000000003
2003-04-23,43.2,43.3,42.0,42.1,9072600,34.76,-0.6000000000000014,-1.4051522248243593,42.9,43.38500000000001,43.68999999999999,-0.7280475678779936,-0.7226207502806129,-0.005426817597380729,35.863924090473155,40.42934160680719,42.15504911439579,47.495640407676646,21.373166666666673,0.7366431905414141,-8.01683333333333,9.746166666666667,6.938833333333336,-0.5746666666666667,11.248666666666663
