mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.009324073791503906,0.0014880186348764574,0.0019217967987060548,0.00035139697717165487,1000.0,0.21544346900318834,"{'C': 1000.0, 'gamma': 0.21544346900318834}",0.5432525951557093,0.47634271099744246,0.6210644257703081,0.5427878787878788,0.6060600580506904,0.5573263692677447,0.05184433686698741,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011235189437866212,0.0027858819901672425,0.0021369457244873047,0.0003283699197498459,1000.0,0.21544346900318834,"{'C': 1000.0, 'gamma': 0.21544346900318834}",0.5594040247678018,0.46227272727272734,0.6210644257703081,0.5427878787878788,0.6094036894036894,0.5589882124497533,0.05647636183299905,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.008186435699462891,0.0011947661999808098,0.0016293525695800781,0.00014076156990756275,1000.0,0.21544346900318834,"{'C': 1000.0, 'gamma': 0.21544346900318834}",0.5594040247678018,0.4526765188834155,0.6025764895330111,0.5412885154061625,0.6194652406417113,0.5550993764397327,0.05835924424463795,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005274009704589844,0.00012933819189251113,0.0030751705169677736,0.00012576478578058735,2.154434690031884,0.0774263682681127,"{'C': 2.154434690031884, 'gamma': 0.0774263682681127}",0.48639157155399465,0.4433551198257081,0.5811764705882354,0.5937042062415196,0.5931972789115647,0.5387561026634233,0.06280876879610704,1,0.7610281517747858,0.7459442273806788,0.7512437810945274,0.7328060243248369,0.7473014867620317,0.7476647342673721,0.00911332933150241
0.011107730865478515,0.0006660900253082585,0.001575469970703125,2.5575102192318716e-05,464.15888336127773,0.0774263682681127,"{'C': 464.15888336127773, 'gamma': 0.0774263682681127}",0.5847750865051903,0.4461100569259962,0.5124464880291739,0.6154965130706371,0.5405603101455636,0.539269711322997,0.05886420277732141,1,0.9600700236844816,0.9452851196404402,0.975063606692195,0.945821171712547,0.9407852097426938,0.9534050262944715,0.01261922184006589
0.015129661560058594,0.0033443571639329914,0.0020077705383300783,0.00036687577640515936,464.15888336127773,0.0774263682681127,"{'C': 464.15888336127773, 'gamma': 0.0774263682681127}",0.609657594381036,0.48639157155399465,0.527601809954751,0.5739317003397103,0.5949081973926694,0.5580850787221732,0.0456873307783676,1,0.95,0.9502301790281331,0.975063606692195,0.9507183577218988,0.9409265664197602,0.9533877419723975,0.011434129780616926
0.014939594268798827,0.0023465113115570843,0.001991462707519531,0.0004787725605667078,464.15888336127773,0.0774263682681127,"{'C': 464.15888336127773, 'gamma': 0.0774263682681127}",0.6262975778546713,0.5274802458296751,0.5490196078431373,0.5138898368712034,0.5750224618149146,0.5585632336395278,0.03986871881995687,1,0.9650315925209543,0.925464082911054,0.975063606692195,0.9507183577218988,0.945821171712547,0.9524197623117299,0.016999098664217317
0.00628814697265625,0.0006951739671763675,0.001631021499633789,1.8375252597806637e-05,215.44346900318823,0.21544346900318834,"{'C': 215.44346900318823, 'gamma': 0.21544346900318834}",0.6043643263757116,0.5594040247678018,0.5642857142857143,0.4619447779111644,0.6240947992100065,0.5627265166512089,0.05579875588877589,1,0.9950047889001061,0.9950047889001061,1.0,0.995029455713378,0.9950541497664412,0.9960186366560062,0.001990765808355481
0.00626683235168457,0.0007863882267742163,0.0016415119171142578,7.38286527022388e-05,215.44346900318823,0.21544346900318834,"{'C': 215.44346900318823, 'gamma': 0.21544346900318834}",0.6259613801538206,0.5780580075662043,0.5446464646464646,0.48333333333333334,0.6487912087912088,0.5763564984251212,0.05890497287271367,1,0.990019711588339,0.9950297285296188,1.0,0.9950297285296188,0.9950297285296188,0.995021779435439,0.0031560593245598023
0.0059392452239990234,0.0007593645742574153,0.002144336700439453,0.0004232890463304662,21.544346900318832,0.0774263682681127,"{'C': 21.544346900318832, 'gamma': 0.0774263682681127}",0.6432856037151703,0.4619447779111644,0.6,0.6,0.56,0.5733259150798083,0.06151894816610631,1,0.88,0.8520592185684319,0.9057492525564288,0.845603491201497,0.8513122030756242,0.8669448330803963,0.02279312996333576
0.011037302017211915,0.0028731261365702596,0.0018342971801757813,0.00043924246625649403,215.44346900318823,0.027825594022071243,"{'C': 215.44346900318823, 'gamma': 0.027825594022071243}",0.6617826617826618,0.4619447779111644,0.6183273309323729,0.6026272577996717,0.5246753246753247,0.5742217144097309,0.07145805529253538,1,0.88,0.860960620141759,0.8851989760028184,0.8407960199004975,0.8558621273589442,0.8645635486808038,0.016233891347996184
0.02039651870727539,0.004084704788969775,0.0019215583801269532,0.00046684872439711457,1000.0,0.0774263682681127,"{'C': 1000.0, 'gamma': 0.0774263682681127}",0.5994582043343653,0.5847750865051903,0.4576230492196878,0.5642512077294686,0.5749549819927972,0.5564239234976981,0.050630022330858435,1,0.9649645261051483,0.9600744109136007,0.995029455713378,0.9702494851748583,0.9703511608627705,0.9721338077539512,0.012064550124357207
0.008866596221923827,0.00446918364648986,0.002365589141845703,0.0011231739386787349,215.44346900318823,0.21544346900318834,"{'C': 215.44346900318823, 'gamma': 0.21544346900318834}",0.6078431372549019,0.4149917020099576,0.5439412484700124,0.6612649855312113,0.5655534941249227,0.5583147797398017,0.08267339419907728,1,0.9900186027284001,0.9950047889001061,1.0,0.995029455713378,0.9950541497664412,0.9950213994216652,0.0031564490134036683
