mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004910898208618164,0.00016307003992993758,0.0029063701629638674,8.05375560488155e-05,2.154434690031884,0.01,"{'C': 2.154434690031884, 'gamma': 0.01}",0.48825684119801777,0.3250148544266191,0.5791596638655462,0.5578846153846153,0.5728360309641098,0.503577832496438,0.09585478652880036,1,0.6403609022556391,0.6603408521303257,0.6421459179237554,0.6468141039225779,0.6330117794388135,0.6445347111342224,0.009065701220387495
0.005417490005493164,9.373660441246317e-05,0.0030910015106201173,7.368431779462497e-05,1.0,0.027825594022071243,"{'C': 1.0, 'gamma': 0.027825594022071243}",0.4784150666503607,0.4063779357897005,0.5679638009049773,0.607692636803149,0.5376579203109815,0.5187759931043401,0.07072877074877439,1,0.66,0.6801600160016003,0.6548878721968049,0.6672260653852642,0.652093067934652,0.6628734043036643,0.010059954572835183
0.005300092697143555,0.0002616302287626825,0.002766847610473633,0.00048230681962494967,1.0,0.0774263682681127,"{'C': 1.0, 'gamma': 0.0774263682681127}",0.5042569659442724,0.44495666605200074,0.6666666666666666,0.5476417991945942,0.5849652992510136,0.5494328408591422,0.07531388086128878,1,0.7552145090681677,0.7201400140014002,0.7201400140014002,0.7328832441417926,0.727956601328149,0.731266876508182,0.012920323601305562
0.004990005493164062,0.0007213887425995957,0.0027731895446777345,0.0004906776369244233,1.0,0.0774263682681127,"{'C': 1.0, 'gamma': 0.0774263682681127}",0.5042569659442724,0.42240719701361035,0.6666666666666666,0.5476417991945942,0.566397124887691,0.541226213509498,0.08046878448558317,1,0.7402080832332933,0.72,0.7350728768219206,0.7377977220161425,0.7178980784296259,0.7301953521001965,0.009348895171831656
0.005372381210327149,0.00019877914222863187,0.0029351234436035155,5.2370397938586605e-05,1.0,0.0774263682681127,"{'C': 1.0, 'gamma': 0.0774263682681127}",0.5042569659442724,0.4392156862745098,0.6595918367346938,0.5987179487179487,0.5476417991945942,0.5492710864395424,0.07605760687979124,1,0.7249243731093277,0.7047123102698108,0.7165442682865102,0.7215863584535689,0.7227722772277227,0.7181079174693881,0.007241645698863552
0.005122470855712891,0.0007694217759144474,0.0025071144104003907,0.00047277101151538004,1.0,0.21544346900318834,"{'C': 1.0, 'gamma': 0.21544346900318834}",0.5939278937381405,0.49608391937342705,0.6388461538461538,0.52,0.45359572400388726,0.5408729109051319,0.06682423072102896,1,0.8599159915991599,0.8696877189470524,0.8702428578755705,0.8956000377155471,0.8959402178727496,0.8782773648020159,0.014748062373253388
0.0056264400482177734,0.0003156087497515089,0.002979421615600586,0.0001832984984707747,2.154434690031884,0.21544346900318834,"{'C': 2.154434690031884, 'gamma': 0.21544346900318834}",0.5533206831119545,0.5599999999999999,0.6601360544217687,0.4783252818035427,0.42754098360655746,0.5359341467342754,0.07906509973218634,1,0.905035633017429,0.920260003726168,0.910425594798286,0.9303827602624878,0.9154228855721394,0.9163053754753021,0.00867374834030615
0.004428863525390625,0.000732742862598335,0.00255126953125,0.00044837787805400333,2.154434690031884,0.0774263682681127,"{'C': 2.154434690031884, 'gamma': 0.0774263682681127}",0.5455688854489165,0.4522888616891065,0.5987179487179487,0.5184615384615384,0.5585897435897437,0.5347685967363013,0.04857485425813494,1,0.7600720072007201,0.7810403428402543,0.7611349194620954,0.7761638050173556,0.7860696517412935,0.7728961452523437,0.01051980776213624
0.004904413223266601,0.0002762147553150234,0.0026332378387451173,0.0004315693617054355,2.154434690031884,0.0774263682681127,"{'C': 2.154434690031884, 'gamma': 0.0774263682681127}",0.549493991144845,0.4345454545454545,0.6195438175270109,0.49939975990396157,0.5394477791116447,0.5285698569832298,0.060759878252616736,1,0.764947123678092,0.7709743025809751,0.7710989606423329,0.7806701232354829,0.7861226087302428,0.7747626237734252,0.007590331418720931
0.005154705047607422,0.00015940992122083112,0.002876138687133789,0.0001237590035331769,2.154434690031884,0.0774263682681127,"{'C': 2.154434690031884, 'gamma': 0.0774263682681127}",0.5327908052465288,0.4626666666666667,0.5557487922705314,0.5401840736294519,0.5401840736294519,0.5263406827783986,0.03263016329266298,1,0.77006900690069,0.7809319415991937,0.7959290115257808,0.7859104023319052,0.7562913425937047,0.7778263409902548,0.013613492362741817
0.004159307479858399,0.0006883328058443271,0.001974821090698242,0.00028870570310351193,10.0,0.027825594022071243,"{'C': 10.0, 'gamma': 0.027825594022071243}",0.492163918746227,0.4522888616891065,0.4749758454106281,0.5394460056202328,0.5801680672268907,0.5077462105713166,0.04605314935803779,1,0.73,0.7559533026953877,0.7710421108742004,0.7405208129008484,0.7405208129008484,0.7476074078742571,0.014347820278674117
0.00384521484375,0.0007540557089695568,0.001900625228881836,0.00035600859582467936,4.641588833612778,0.027825594022071243,"{'C': 4.641588833612778, 'gamma': 0.027825594022071243}",0.5327908052465288,0.39916666666666667,0.4698701298701299,0.5184541062801933,0.5557142857142857,0.4953489661120986,0.055580877289649666,1,0.7298646616541353,0.7061478542658749,0.7562792518088816,0.7108833442649547,0.7093197675287228,0.7224989759045138,0.01882197639663485
